src,dst,weight,type
7,12639,2.219,REFERENCES
7,12915,4.757,CITES
7,13229,3.491,CITES
7,13541,2.983,REFERENCES
7,14010,1.03,COLLABORATES
7,14517,0.902,COLLABORATES
7,14552,0.718,REFERENCES
7,14690,3.323,REFERENCES
7,16314,1.132,COLLABORATES
7,16315,2.233,REFERENCES
8,9774,2.531,CITES
8,11940,2.702,COLLABORATES
8,13161,2.16,COLLABORATES
9,10122,1.661,CITES
9,15596,0.228,COLLABORATES
9,16062,4.244,COLLABORATES
9,17258,3.695,CITES
10,198,4.003,REFERENCES
10,553,2.997,REFERENCES
10,920,4.139,COLLABORATES
10,2950,2.476,REFERENCES
10,7826,1.585,COLLABORATES
10,8685,3.947,COLLABORATES
10,8687,4.833,CITES
10,8868,1.431,COLLABORATES
10,11492,4.044,COLLABORATES
10,13806,4.729,CITES
10,14420,0.76,COLLABORATES
10,14752,4.981,REFERENCES
11,3338,0.19,CITES
11,7641,1.864,COLLABORATES
11,8680,1.355,COLLABORATES
11,9960,0.275,REFERENCES
11,11812,3.491,REFERENCES
11,13852,1.671,COLLABORATES
11,16970,0.748,COLLABORATES
11,17152,4.967,CITES
12,10419,2.504,COLLABORATES
12,10789,4.676,REFERENCES
13,10419,1.419,COLLABORATES
13,11743,3.69,REFERENCES
14,12802,3.379,COLLABORATES
15,3817,2.013,REFERENCES
15,5799,2.109,CITES
15,11161,4.158,REFERENCES
16,166,1.43,CITES
16,3319,0.116,COLLABORATES
16,3547,0.229,REFERENCES
16,5246,4.503,CITES
16,9142,3.924,REFERENCES
16,9177,2.302,COLLABORATES
16,11006,4.65,COLLABORATES
16,11658,0.741,REFERENCES
16,13736,3.563,CITES
16,15563,2.427,REFERENCES
17,5441,1.702,REFERENCES
17,5534,4.416,COLLABORATES
17,6160,0.395,REFERENCES
17,6308,2.821,COLLABORATES
17,6488,4.223,CITES
17,6775,3.703,REFERENCES
17,7166,4.914,COLLABORATES
17,9320,0.212,COLLABORATES
17,9707,4.633,REFERENCES
17,9709,2.748,REFERENCES
17,9867,1.018,COLLABORATES
17,10130,2.232,COLLABORATES
17,10443,1.395,CITES
17,10479,3.243,REFERENCES
17,11303,4.816,COLLABORATES
17,12132,1.063,COLLABORATES
17,13198,0.326,COLLABORATES
17,14798,3.055,COLLABORATES
17,15783,4.03,COLLABORATES
18,7705,1.839,COLLABORATES
18,10421,2.529,COLLABORATES
19,1322,3.436,COLLABORATES
19,4142,0.784,COLLABORATES
19,5629,0.62,COLLABORATES
19,6515,2.865,CITES
19,8276,2.973,COLLABORATES
19,16802,1.046,REFERENCES
20,5123,2.199,COLLABORATES
20,7388,0.206,REFERENCES
20,13978,2.407,CITES
20,14251,1.781,CITES
20,17109,1.787,CITES
21,1599,2.002,CITES
21,2353,1.809,REFERENCES
21,4730,2.435,CITES
21,4876,2.454,REFERENCES
21,5628,0.795,CITES
21,6210,2.443,CITES
21,6228,0.204,CITES
21,6413,1.064,REFERENCES
21,6590,1.609,REFERENCES
21,7314,2.94,CITES
21,7342,1.122,COLLABORATES
21,7423,1.568,CITES
21,7492,4.173,COLLABORATES
21,7771,2.914,REFERENCES
21,8071,0.96,COLLABORATES
21,8603,3.155,CITES
21,9594,2.806,CITES
21,10852,3.514,REFERENCES
21,10875,2.928,COLLABORATES
21,11131,4.547,REFERENCES
21,11341,0.677,REFERENCES
21,12043,3.502,REFERENCES
21,12625,4.251,COLLABORATES
21,12762,4.515,CITES
21,12877,1.312,CITES
21,12967,2.758,REFERENCES
21,13389,2.365,REFERENCES
21,13504,4.538,COLLABORATES
21,13516,2.23,COLLABORATES
21,13521,2.992,CITES
21,13700,4.889,REFERENCES
21,14050,0.811,CITES
21,15076,4.149,REFERENCES
21,15265,4.087,REFERENCES
21,15530,4.909,COLLABORATES
21,16789,3.053,COLLABORATES
21,17077,4.921,REFERENCES
21,17139,2.22,REFERENCES
21,17206,1.344,CITES
22,388,2.912,COLLABORATES
22,4892,4.153,REFERENCES
22,7032,3.411,REFERENCES
22,9391,2.46,REFERENCES
22,9784,3.755,COLLABORATES
22,9788,4.444,REFERENCES
22,9789,2.554,COLLABORATES
22,10347,1.287,REFERENCES
22,10429,2.449,COLLABORATES
22,10641,3.176,REFERENCES
22,11098,3.912,CITES
22,11206,3.702,CITES
22,11464,4.1,REFERENCES
22,11473,0.979,COLLABORATES
22,13460,2.427,CITES
22,13645,3.451,CITES
22,14636,4.978,REFERENCES
22,15137,1.101,CITES
22,15918,2.065,COLLABORATES
22,17054,0.328,COLLABORATES
22,17066,1.827,CITES
22,17067,2.18,REFERENCES
22,17161,3.071,COLLABORATES
23,1508,4.323,REFERENCES
23,2651,3.205,REFERENCES
23,10654,3.893,REFERENCES
23,10659,1.306,COLLABORATES
23,13132,0.804,REFERENCES
23,13793,3.622,REFERENCES
23,14821,2.488,CITES
23,15554,3.696,REFERENCES
23,16601,2.68,COLLABORATES
24,4897,4.317,CITES
24,10378,4.027,REFERENCES
24,11441,4.841,COLLABORATES
25,7958,0.912,COLLABORATES
25,16705,2.453,COLLABORATES
26,836,3.963,COLLABORATES
26,1454,4.605,CITES
26,1674,0.355,CITES
26,2781,2.271,REFERENCES
26,3225,4.373,CITES
26,4473,3.024,REFERENCES
26,6367,4.79,COLLABORATES
26,7648,1.636,REFERENCES
26,9259,1.48,REFERENCES
26,9289,1.652,CITES
26,9812,0.464,REFERENCES
26,10388,0.346,CITES
26,11172,1.5,COLLABORATES
26,12846,0.48,CITES
26,14365,2.355,CITES
26,14814,2.877,CITES
26,15773,3.016,COLLABORATES
26,16480,1.322,REFERENCES
26,16707,1.318,CITES
26,16960,4.943,CITES
26,17330,2.169,COLLABORATES
27,14809,2.693,CITES
28,357,1.526,COLLABORATES
28,683,1.188,COLLABORATES
28,1624,1.657,CITES
28,1701,2.954,COLLABORATES
28,1714,1.124,CITES
28,2513,3.342,CITES
28,2793,4.423,REFERENCES
28,3433,1.684,COLLABORATES
28,3776,1.91,COLLABORATES
28,4739,4.232,CITES
28,5349,4.082,COLLABORATES
28,5939,0.382,CITES
28,6749,3.647,REFERENCES
28,8430,0.421,REFERENCES
28,8602,3.496,COLLABORATES
28,8744,2.879,CITES
28,10361,4.535,COLLABORATES
28,11960,1.861,CITES
28,12550,4.029,CITES
28,12807,0.133,CITES
28,13329,3.558,REFERENCES
28,14910,4.991,COLLABORATES
29,2122,1.144,CITES
29,2671,1.257,REFERENCES
29,3791,2.457,REFERENCES
29,5005,3.329,CITES
29,8615,4.223,CITES
29,8907,0.579,COLLABORATES
29,8968,2.872,COLLABORATES
29,11850,0.867,REFERENCES
30,813,3.121,CITES
30,1403,4.605,CITES
30,2139,4.752,REFERENCES
30,4453,4.493,CITES
30,4595,4.916,COLLABORATES
30,6119,0.479,REFERENCES
30,8113,1.968,COLLABORATES
30,10978,4.248,REFERENCES
30,11536,2.189,COLLABORATES
30,12376,0.36,REFERENCES
30,13689,1.634,CITES
30,16798,4.882,COLLABORATES
31,9920,1.323,REFERENCES
32,919,3.637,COLLABORATES
32,3048,4.16,CITES
32,8872,0.414,REFERENCES
33,4860,3.585,CITES
33,6050,4.97,CITES
33,7218,4.789,COLLABORATES
33,7827,0.358,COLLABORATES
33,7928,3.757,CITES
33,8924,3.568,REFERENCES
33,13861,4.724,REFERENCES
34,97,4.838,REFERENCES
34,794,2.092,CITES
34,1478,2.461,REFERENCES
34,1809,3.924,REFERENCES
34,2309,4.326,COLLABORATES
34,2354,4.984,REFERENCES
34,2624,2.241,CITES
34,2948,4.252,COLLABORATES
34,3135,4.573,COLLABORATES
34,3162,1.943,COLLABORATES
34,3192,2.414,CITES
34,3591,4.203,CITES
34,4134,0.979,COLLABORATES
34,4142,4.338,CITES
34,4310,1.995,COLLABORATES
34,4838,3.348,REFERENCES
34,5501,2.551,CITES
34,5705,3.924,COLLABORATES
34,6128,1.754,COLLABORATES
34,6394,4.411,REFERENCES
34,6948,2.639,COLLABORATES
34,7267,3.908,CITES
34,7745,3.987,COLLABORATES
34,8721,2.853,CITES
34,8838,1.975,COLLABORATES
34,8911,4.826,CITES
34,9192,4.742,REFERENCES
34,9271,2.546,COLLABORATES
34,9953,1.835,COLLABORATES
34,9988,0.306,CITES
34,10135,2.067,REFERENCES
34,10650,2.787,COLLABORATES
34,10761,4.449,COLLABORATES
34,11014,1.427,COLLABORATES
34,11375,0.548,COLLABORATES
34,12028,4.54,COLLABORATES
34,12286,3.758,REFERENCES
34,12489,4.867,COLLABORATES
34,12547,3.852,REFERENCES
34,12613,2.082,REFERENCES
34,13125,0.192,REFERENCES
34,13329,0.397,COLLABORATES
34,13443,4.255,CITES
34,13624,1.709,CITES
34,13731,1.214,REFERENCES
34,14502,2.608,COLLABORATES
34,14527,4.899,CITES
34,14621,2.112,COLLABORATES
34,15323,4.401,COLLABORATES
34,15437,0.311,CITES
34,16590,1.348,COLLABORATES
34,16726,3.656,REFERENCES
34,16871,2.574,COLLABORATES
35,16254,0.834,CITES
36,10698,2.282,COLLABORATES
36,15805,3.331,CITES
37,1132,2.252,CITES
37,1430,0.316,REFERENCES
37,5937,0.481,COLLABORATES
37,7465,1.178,COLLABORATES
37,7526,2.926,CITES
37,8212,3.391,CITES
37,8582,3.02,REFERENCES
37,9424,3.955,COLLABORATES
37,11961,2.114,CITES
37,12856,3.448,COLLABORATES
37,15199,1.333,COLLABORATES
37,17160,3.939,COLLABORATES
38,1235,0.285,COLLABORATES
38,2331,2.219,CITES
38,3635,3.47,COLLABORATES
38,16878,1.805,CITES
39,2952,3.581,REFERENCES
39,10647,4.415,CITES
39,12374,4.506,COLLABORATES
39,13451,2.813,CITES
40,3313,2.584,COLLABORATES
40,7465,1.877,COLLABORATES
41,637,0.603,REFERENCES
41,1904,2.197,COLLABORATES
41,2939,2.463,CITES
41,3692,2.224,COLLABORATES
41,4597,0.743,CITES
41,5059,3.06,CITES
41,5808,4.012,CITES
41,8952,2.811,CITES
41,11229,1.567,CITES
41,12553,1.369,CITES
41,12851,4.758,REFERENCES
41,13989,3.998,CITES
41,14341,1.876,COLLABORATES
41,15633,4.765,REFERENCES
41,16425,1.881,COLLABORATES
42,78,2.72,CITES
42,757,2.172,COLLABORATES
42,857,4.567,COLLABORATES
42,1254,3.947,CITES
42,1668,4.487,REFERENCES
42,2042,2.924,CITES
42,6686,3.466,CITES
42,11394,1.792,REFERENCES
42,11786,4.061,COLLABORATES
42,12638,3.472,REFERENCES
43,1750,4.403,COLLABORATES
43,2843,2.995,REFERENCES
43,3228,4.946,REFERENCES
43,3449,0.243,CITES
43,4522,3.389,CITES
43,4723,1.777,COLLABORATES
43,5365,4.008,CITES
43,5645,2.707,COLLABORATES
43,6700,0.571,CITES
43,8692,4.313,REFERENCES
43,9485,0.288,COLLABORATES
43,9819,2.505,REFERENCES
43,11023,0.289,CITES
43,11114,4.265,REFERENCES
43,11440,0.925,CITES
43,14522,3.703,COLLABORATES
43,14596,3.62,COLLABORATES
43,14620,0.405,COLLABORATES
43,14626,4.643,REFERENCES
43,16751,1.824,REFERENCES
43,17160,0.617,CITES
43,17329,2.018,COLLABORATES
44,6328,3.791,COLLABORATES
45,1247,3.556,CITES
45,3330,4.915,COLLABORATES
45,3708,4.392,COLLABORATES
45,8242,2.754,COLLABORATES
45,9231,4.626,REFERENCES
45,12513,1.045,CITES
45,13204,0.75,COLLABORATES
46,1383,1.293,COLLABORATES
46,3834,2.616,CITES
46,4724,4.638,CITES
46,5815,3.132,CITES
46,8833,1.699,COLLABORATES
46,9626,1.862,REFERENCES
46,10560,4.971,CITES
47,16349,1.997,COLLABORATES
48,505,0.19,COLLABORATES
48,3991,2.84,COLLABORATES
49,5614,4.115,REFERENCES
49,16551,4.324,COLLABORATES
50,4569,4.566,REFERENCES
51,5810,4.582,REFERENCES
51,6107,4.455,CITES
51,9864,3.798,CITES
51,10929,3.235,COLLABORATES
51,11988,2.009,REFERENCES
51,12490,1.535,COLLABORATES
51,16857,4.962,CITES
52,2347,4.273,REFERENCES
52,5043,1.234,CITES
52,8275,3.807,COLLABORATES
52,11965,2.21,CITES
53,2695,3.538,COLLABORATES
53,3166,4.199,REFERENCES
53,7227,2.129,REFERENCES
53,10777,2.715,REFERENCES
53,10827,4.278,REFERENCES
53,12385,2.533,CITES
53,12670,1.981,REFERENCES
53,12738,4.325,REFERENCES
53,12742,1.3,COLLABORATES
53,14171,3.157,CITES
53,14422,1.495,COLLABORATES
53,15050,4.43,CITES
53,15974,3.214,COLLABORATES
53,16296,3.763,CITES
54,1417,0.383,COLLABORATES
54,10449,0.172,COLLABORATES
55,3857,3.309,REFERENCES
55,5293,0.216,COLLABORATES
55,5885,2.185,COLLABORATES
55,10080,0.657,CITES
55,11169,0.121,CITES
56,16015,1.671,REFERENCES
57,1445,3.996,CITES
57,10409,4.486,REFERENCES
57,11624,4.645,COLLABORATES
57,14871,4.586,COLLABORATES
58,4348,1.564,CITES
58,4778,4.524,REFERENCES
58,5161,3.897,REFERENCES
58,6576,1.485,COLLABORATES
58,9595,1.607,COLLABORATES
58,13707,0.884,CITES
58,14004,2.557,CITES
59,5423,2.278,COLLABORATES
59,17111,1.642,CITES
60,1819,0.164,REFERENCES
60,2894,0.786,REFERENCES
60,3082,1.868,COLLABORATES
60,4943,4.227,CITES
60,6265,0.674,COLLABORATES
60,8744,0.869,COLLABORATES
60,11500,0.495,COLLABORATES
60,13207,2.809,COLLABORATES
60,13919,3.395,COLLABORATES
60,15399,0.166,COLLABORATES
61,14900,0.698,REFERENCES
62,2900,3.756,CITES
62,4593,4.398,REFERENCES
62,8445,1.409,REFERENCES
62,12196,0.22,REFERENCES
62,12431,0.554,COLLABORATES
62,14950,0.599,CITES
62,15399,4.842,CITES
63,2754,2.514,REFERENCES
63,9123,4.633,COLLABORATES
63,9849,3.701,COLLABORATES
63,16613,0.432,COLLABORATES
64,718,2.944,CITES
64,2978,1.16,CITES
64,4347,2.417,REFERENCES
64,4756,3.162,COLLABORATES
64,5315,2.853,REFERENCES
64,8913,1.4,CITES
64,11883,2.604,REFERENCES
64,12474,1.095,REFERENCES
64,12593,4.685,REFERENCES
64,16650,1.911,CITES
64,16657,3.053,COLLABORATES
64,17329,4.896,COLLABORATES
65,1214,2.123,COLLABORATES
65,8720,4.075,COLLABORATES
66,106,0.497,COLLABORATES
66,946,4.164,CITES
66,1454,1.098,CITES
66,1538,3.088,COLLABORATES
66,2398,3.117,CITES
66,2959,3.261,REFERENCES
66,2989,4.943,CITES
66,2992,2.881,COLLABORATES
66,3985,2.008,COLLABORATES
66,5205,4.361,COLLABORATES
66,5271,1.558,COLLABORATES
66,6126,1.815,REFERENCES
66,7523,1.055,REFERENCES
66,8215,1.601,REFERENCES
66,9024,4.847,REFERENCES
66,9525,4.848,COLLABORATES
66,9692,1.927,COLLABORATES
66,9873,2.804,CITES
66,10134,1.904,REFERENCES
66,11006,2.96,CITES
66,11011,4.589,COLLABORATES
66,11043,3.536,REFERENCES
66,12151,4.653,CITES
66,12235,2.717,REFERENCES
66,12777,2.798,COLLABORATES
66,13223,4.399,CITES
66,13455,1.275,REFERENCES
66,13724,3.822,CITES
66,15480,1.073,COLLABORATES
67,729,0.863,CITES
67,4713,1.279,CITES
67,5009,3.488,REFERENCES
67,5507,3.194,CITES
67,5569,0.608,REFERENCES
67,10950,1.994,CITES
67,14897,1.69,REFERENCES
67,15060,3.659,REFERENCES
68,362,0.852,CITES
68,728,1.367,CITES
68,1606,3.913,CITES
68,1983,3.896,REFERENCES
68,2862,4.593,COLLABORATES
68,3553,2.201,COLLABORATES
68,3919,2.39,COLLABORATES
68,4148,3.296,COLLABORATES
68,4174,0.31,CITES
68,4499,2.374,COLLABORATES
68,4731,3.695,REFERENCES
68,5140,2.15,COLLABORATES
68,6119,1.092,REFERENCES
68,6361,0.242,CITES
68,6369,4.858,COLLABORATES
68,6593,1.048,CITES
68,8113,4.231,REFERENCES
68,8820,4.883,CITES
68,9755,1.086,CITES
68,10688,2.865,CITES
68,11300,0.558,REFERENCES
68,11590,2.756,COLLABORATES
68,11755,2.374,CITES
68,12376,3.191,COLLABORATES
68,12913,1.873,REFERENCES
68,13229,3.493,COLLABORATES
68,13259,0.779,CITES
68,13278,2.861,REFERENCES
68,13764,3.164,REFERENCES
69,4999,4.164,COLLABORATES
69,5594,4.214,COLLABORATES
69,8572,2.356,REFERENCES
69,8857,0.952,REFERENCES
69,9009,3.286,COLLABORATES
69,9890,2.768,REFERENCES
69,12021,1.997,CITES
69,14297,1.954,COLLABORATES
69,16877,4.282,REFERENCES
70,574,3.437,REFERENCES
70,11824,0.41,CITES
70,13287,2.483,CITES
70,13963,1.627,CITES
70,15019,1.91,REFERENCES
71,1879,3.393,COLLABORATES
71,3156,1.68,CITES
71,3832,2.169,CITES
71,4348,3.42,REFERENCES
71,5855,0.757,REFERENCES
71,6171,1.499,REFERENCES
71,6319,3.095,COLLABORATES
71,7014,4.968,COLLABORATES
71,7092,0.141,CITES
71,7229,0.302,CITES
71,7887,2.703,COLLABORATES
71,8475,2.838,CITES
71,9152,3.127,COLLABORATES
71,9194,4.437,COLLABORATES
71,12162,1.361,REFERENCES
71,12891,4.932,REFERENCES
71,12995,2.91,COLLABORATES
71,15853,4.497,REFERENCES
71,17152,1.309,COLLABORATES
72,16463,2.141,COLLABORATES
73,3434,2.742,REFERENCES
73,7097,2.344,REFERENCES
73,13744,3.209,COLLABORATES
74,2867,0.393,CITES
75,993,1.161,REFERENCES
76,2447,4.98,REFERENCES
76,2460,0.245,REFERENCES
76,14661,2.17,REFERENCES
77,4487,2.134,CITES
77,9340,1.669,REFERENCES
78,166,3.069,REFERENCES
78,526,2.435,REFERENCES
78,610,1.588,REFERENCES
78,757,0.219,COLLABORATES
78,988,3.652,CITES
78,1426,4.225,CITES
78,1600,2.281,CITES
78,1668,4.619,REFERENCES
78,1673,3.902,REFERENCES
78,1739,4.618,CITES
78,2410,2.25,CITES
78,2771,2.15,REFERENCES
78,2874,2.685,CITES
78,2947,1.508,CITES
78,3017,1.735,COLLABORATES
78,3287,2.484,REFERENCES
78,3956,0.582,REFERENCES
78,4002,3.697,CITES
78,4372,3.601,COLLABORATES
78,4487,4.111,CITES
78,4581,4.22,REFERENCES
78,5026,1.757,CITES
78,5095,1.423,REFERENCES
78,5136,3.051,REFERENCES
78,5257,1.335,CITES
78,5377,4.192,COLLABORATES
78,5698,4.883,CITES
78,6019,2.303,REFERENCES
78,6454,4.055,COLLABORATES
78,6484,3.281,REFERENCES
78,6581,2.44,COLLABORATES
78,6804,0.761,REFERENCES
78,7015,1.614,CITES
78,7063,4.616,COLLABORATES
78,7587,2.652,REFERENCES
78,8296,4.586,COLLABORATES
78,8521,4.495,CITES
78,9617,1.727,COLLABORATES
78,9675,1.542,COLLABORATES
78,9696,0.781,REFERENCES
78,9715,3.111,COLLABORATES
78,10056,2.604,COLLABORATES
78,10499,4.228,COLLABORATES
78,10624,3.193,COLLABORATES
78,10763,4.524,REFERENCES
78,10920,4.285,CITES
78,10943,1.389,REFERENCES
78,10996,3.962,COLLABORATES
78,11001,2.327,REFERENCES
78,11327,0.975,REFERENCES
78,11621,0.369,COLLABORATES
78,12100,0.894,REFERENCES
78,12112,2.158,REFERENCES
78,12334,1.429,COLLABORATES
78,12638,3.364,CITES
78,12919,1.641,COLLABORATES
78,13124,0.611,REFERENCES
78,13378,0.902,REFERENCES
78,13749,4.628,CITES
78,13970,2.83,REFERENCES
78,14130,2.734,CITES
78,14135,4.946,REFERENCES
78,14307,0.761,CITES
78,14347,4.188,REFERENCES
78,14536,3.778,REFERENCES
78,14753,2.012,CITES
78,15067,1.855,COLLABORATES
78,15779,2.174,REFERENCES
78,16986,3.724,CITES
78,16989,2.859,COLLABORATES
78,17310,4.916,CITES
79,757,1.211,COLLABORATES
79,1668,1.927,COLLABORATES
79,1673,3.243,CITES
79,3216,2.842,COLLABORATES
79,4372,1.084,REFERENCES
79,5257,4.638,REFERENCES
79,6804,1.596,REFERENCES
79,7063,0.889,CITES
79,8679,2.457,REFERENCES
79,9846,1.892,REFERENCES
79,10499,2.054,CITES
79,10996,3.676,CITES
79,12295,4.127,COLLABORATES
79,13222,4.323,COLLABORATES
79,13378,3.22,CITES
79,14536,2.969,COLLABORATES
79,14949,0.47,REFERENCES
79,16843,3.938,REFERENCES
79,16989,4.545,CITES
80,630,0.131,REFERENCES
80,716,0.621,COLLABORATES
80,1778,1.843,REFERENCES
80,1938,3.005,COLLABORATES
80,2366,1.614,COLLABORATES
80,2469,4.684,CITES
80,2544,0.29,CITES
80,5435,2.425,REFERENCES
80,5782,4.36,COLLABORATES
80,6199,0.738,REFERENCES
80,7322,4.359,REFERENCES
80,7549,1.561,REFERENCES
80,8251,3.485,CITES
80,8520,4.566,COLLABORATES
80,10425,0.986,REFERENCES
80,10639,0.74,REFERENCES
80,11685,3.406,REFERENCES
80,13732,2.582,COLLABORATES
80,14284,3.464,CITES
80,14548,0.377,CITES
80,15157,0.873,COLLABORATES
80,15763,4.96,COLLABORATES
80,16779,4.123,COLLABORATES
80,17441,2.891,CITES
81,716,0.325,COLLABORATES
81,1265,0.39,REFERENCES
81,1459,3.426,COLLABORATES
81,1491,3.78,CITES
81,2569,4.336,COLLABORATES
81,3670,0.557,REFERENCES
81,3733,4.573,CITES
81,3965,3.233,COLLABORATES
81,4019,0.264,CITES
81,4103,2.095,CITES
81,4731,0.824,COLLABORATES
81,4845,4.97,COLLABORATES
81,4847,1.301,REFERENCES
81,5117,3.267,REFERENCES
81,5136,2.128,CITES
81,5509,4.596,REFERENCES
81,5597,3.46,COLLABORATES
81,5979,0.398,COLLABORATES
81,6038,4.868,COLLABORATES
81,6280,2.546,COLLABORATES
81,6547,3.392,COLLABORATES
81,7123,0.49,COLLABORATES
81,8836,0.173,REFERENCES
81,8997,1.933,REFERENCES
81,9926,4.398,CITES
81,10173,3.614,REFERENCES
81,11002,2.734,COLLABORATES
81,11290,1.782,REFERENCES
81,11616,3.233,REFERENCES
81,12080,2.518,COLLABORATES
81,12704,2.863,REFERENCES
81,14063,1.018,COLLABORATES
81,14842,3.646,REFERENCES
81,15178,1.787,COLLABORATES
81,16571,0.902,REFERENCES
82,942,3.715,CITES
82,1865,3.837,CITES
82,6775,4.049,CITES
82,7014,2.057,COLLABORATES
82,7641,3.67,CITES
82,7876,4.56,CITES
82,8238,3.173,CITES
82,8935,3.055,COLLABORATES
82,9063,2.344,COLLABORATES
82,9990,1.545,COLLABORATES
82,10978,1.214,REFERENCES
82,11109,4.879,REFERENCES
82,11755,3.541,COLLABORATES
82,11985,3.428,REFERENCES
82,11992,2.2,COLLABORATES
82,12871,3.497,REFERENCES
82,13852,1.484,REFERENCES
82,14538,0.364,COLLABORATES
82,14966,4.721,CITES
82,17107,1.383,REFERENCES
82,17152,3.846,REFERENCES
83,4981,1.442,REFERENCES
83,8096,2.456,REFERENCES
83,9404,4.047,CITES
83,10779,3.341,COLLABORATES
83,13413,0.604,CITES
84,12794,2.109,REFERENCES
84,14356,4.5,REFERENCES
85,14360,4.364,CITES
86,1999,0.258,REFERENCES
86,13904,2.267,COLLABORATES
87,309,1.529,CITES
87,937,3.107,CITES
87,1364,2.937,CITES
87,1542,0.424,REFERENCES
87,2240,1.372,CITES
87,2807,0.731,CITES
87,2934,2.176,REFERENCES
87,3574,1.808,REFERENCES
87,6808,2.402,CITES
87,7987,4.841,CITES
87,8079,1.493,REFERENCES
87,11787,0.45,COLLABORATES
87,12156,3.252,COLLABORATES
87,12814,2.862,REFERENCES
87,12984,0.534,REFERENCES
87,14688,3.743,CITES
87,14987,1.396,COLLABORATES
87,16360,4.472,COLLABORATES
87,17254,4.81,REFERENCES
88,12046,0.822,CITES
88,13456,1.505,COLLABORATES
89,1511,1.449,REFERENCES
89,5015,4.359,REFERENCES
89,5778,0.231,CITES
89,6246,2.131,REFERENCES
89,6661,1.161,REFERENCES
89,6940,1.273,COLLABORATES
89,7393,3.091,COLLABORATES
90,179,1.269,COLLABORATES
90,953,2.745,REFERENCES
90,1081,4.59,COLLABORATES
90,4295,3.135,REFERENCES
90,6026,2.416,REFERENCES
90,8199,3.668,CITES
90,9075,0.865,CITES
90,9631,0.459,CITES
90,12373,3.991,CITES
90,13105,2.028,REFERENCES
90,15711,0.846,REFERENCES
90,16794,2.603,COLLABORATES
90,17311,1.355,COLLABORATES
91,4811,4.876,REFERENCES
91,10429,2.96,COLLABORATES
91,14363,3.215,COLLABORATES
91,17273,0.354,CITES
92,480,1.913,CITES
92,1158,2.275,REFERENCES
92,1462,1.918,REFERENCES
92,1530,3.636,REFERENCES
92,1717,2.071,CITES
92,2086,1.986,CITES
92,2263,1.009,COLLABORATES
92,2502,0.979,COLLABORATES
92,3878,3.598,CITES
92,4392,0.737,COLLABORATES
92,4515,2.32,CITES
92,5540,4.793,COLLABORATES
92,5675,3.071,CITES
92,6119,1.351,COLLABORATES
92,6488,0.296,REFERENCES
92,6616,3.145,REFERENCES
92,6724,4.254,CITES
92,7503,2.261,REFERENCES
92,8004,2.544,REFERENCES
92,8113,1.711,REFERENCES
92,9638,4.856,CITES
92,11681,3.14,REFERENCES
92,11736,2.23,CITES
92,11887,2.005,CITES
92,12132,4.073,COLLABORATES
92,12326,1.874,COLLABORATES
92,12934,0.627,REFERENCES
92,13196,4.052,REFERENCES
92,13470,3.401,REFERENCES
92,14277,4.581,COLLABORATES
92,16758,4.868,REFERENCES
92,16763,0.853,CITES
92,17268,2.059,CITES
92,17273,3.738,CITES
93,3570,0.593,COLLABORATES
93,4006,0.613,REFERENCES
93,12732,3.645,COLLABORATES
93,14710,0.913,COLLABORATES
94,180,2.287,REFERENCES
94,187,4.173,COLLABORATES
94,390,4.793,COLLABORATES
94,610,3.25,REFERENCES
94,870,1.197,CITES
