id,name,category,year,score
123,Entity_123,Economics,2014,93.24
124,Entity_124,ComputerScience,2024,14.29
125,Entity_125,ComputerScience,2024,11.6
126,Entity_126,Economics,2012,27.96
127,Entity_127,Economics,2013,72.04
128,Entity_128,Physics,2020,63.79
129,Entity_129,Mathematics,2018,49.36
130,Entity_130,ComputerScience,2011,63.79
131,Entity_131,Mathematics,2010,1.35
132,Entity_132,Physics,2020,98.0
133,Entity_133,Physics,2021,44.74
134,Entity_134,Engineering,2016,56.53
135,Entity_135,ComputerScience,2011,94.56
136,Entity_136,Engineering,2024,15.76
137,Entity_137,ComputerScience,2023,37.55
138,Entity_138,Economics,2012,43.55
139,Entity_139,ComputerScience,2014,37.1
140,Entity_140,ComputerScience,2024,36.42
141,Entity_141,Engineering,2013,67.03
142,Entity_142,Mathematics,2022,56.43
143,Entity_143,Biology,2019,75.2
144,Entity_144,Physics,2023,17.09
145,Entity_145,Physics,2024,41.82
146,Entity_146,Physics,2021,92.52
147,Entity_147,Biology,2022,67.32
148,Entity_148,Engineering,2022,25.57
149,Entity_149,Physics,2022,70.43
150,Entity_150,Biology,2023,4.83
151,Entity_151,Biology,2013,20.76
152,Entity_152,Biology,2015,31.21
153,Entity_153,Physics,2013,3.34
154,Entity_154,Physics,2016,33.5
155,Entity_155,ComputerScience,2022,28.63
156,Entity_156,Engineering,2018,40.57
157,Entity_157,Economics,2015,93.98
158,Entity_158,ComputerScience,2024,97.07
159,Entity_159,Physics,2019,96.29
160,Entity_160,Mathematics,2010,11.73
161,Entity_161,Biology,2015,73.13
162,Entity_162,Mathematics,2016,61.01
163,Entity_163,Economics,2011,39.13
164,Entity_164,Economics,2013,26.22
165,Entity_165,Engineering,2016,1.17
166,Entity_166,Economics,2020,72.22
167,Entity_167,Engineering,2021,67.39
168,Entity_168,Mathematics,2016,7.93
169,Entity_169,Engineering,2024,33.69
170,Entity_170,Mathematics,2020,84.95
171,Entity_171,Engineering,2024,30.73
172,Entity_172,Mathematics,2020,41.43
173,Entity_173,Biology,2021,30.27
174,Entity_174,Physics,2013,42.62
175,Entity_175,Biology,2020,75.07
176,Entity_176,Physics,2019,57.34
177,Entity_177,Biology,2018,83.54
178,Entity_178,Mathematics,2014,21.81
179,Entity_179,Economics,2019,65.82
180,Entity_180,Biology,2017,44.77
181,Entity_181,Physics,2018,47.85
182,Entity_182,Engineering,2012,66.23
183,Entity_183,Mathematics,2018,66.72
184,Entity_184,Economics,2015,10.25
185,Entity_185,Physics,2020,31.73
186,Entity_186,Physics,2012,3.42
187,Entity_187,Physics,2017,61.52
188,Entity_188,ComputerScience,2017,42.03
189,Entity_189,Engineering,2019,20.25
190,Entity_190,Engineering,2016,49.94
191,Entity_191,Physics,2012,65.95
192,Entity_192,ComputerScience,2024,75.35
193,Entity_193,ComputerScience,2022,43.09
194,Entity_194,Physics,2022,95.84
195,Entity_195,Economics,2017,5.97
196,Entity_196,Physics,2024,84.99
197,Entity_197,Biology,2012,80.34
198,Entity_198,Engineering,2018,98.8
199,Entity_199,Economics,2015,95.05
200,Entity_200,Biology,2019,81.69
201,Entity_201,Economics,2016,83.23
202,Entity_202,Economics,2017,89.82
203,Entity_203,Engineering,2023,47.99
204,Entity_204,Mathematics,2022,25.48
205,Entity_205,Engineering,2014,76.82
206,Entity_206,Economics,2017,63.05
207,Entity_207,Mathematics,2017,8.67
208,Entity_208,Mathematics,2013,27.9
209,Entity_209,Mathematics,2024,54.48
210,Entity_210,Physics,2012,23.89
211,Entity_211,Engineering,2012,70.94
212,Entity_212,ComputerScience,2016,41.35
213,Entity_213,Economics,2017,42.16
214,Entity_214,Physics,2023,42.59
215,Entity_215,Economics,2021,2.93
216,Entity_216,Economics,2016,48.22
217,Entity_217,Mathematics,2014,75.59
218,Entity_218,Biology,2018,75.0
219,Entity_219,Economics,2022,60.72
220,Entity_220,Physics,2017,22.72
221,Entity_221,Biology,2017,3.87
222,Entity_222,Mathematics,2020,68.24
223,Entity_223,Biology,2021,17.34
224,Entity_224,Biology,2024,13.64
225,Entity_225,Economics,2018,3.67
226,Entity_226,Biology,2019,56.87
227,Entity_227,ComputerScience,2011,64.63
228,Entity_228,Physics,2023,46.71
229,Entity_229,ComputerScience,2014,38.53
230,Entity_230,Physics,2017,33.36
231,Entity_231,Biology,2014,75.45
232,Entity_232,Biology,2014,83.66
233,Entity_233,Biology,2010,75.15
234,Entity_234,ComputerScience,2015,23.2
235,Entity_235,ComputerScience,2022,95.77
236,Entity_236,ComputerScience,2022,4.07
237,Entity_237,Physics,2013,84.08
238,Entity_238,Economics,2012,24.62
239,Entity_239,Biology,2020,12.32
240,Entity_240,Physics,2017,70.25
241,Entity_241,Mathematics,2012,60.98
242,Entity_242,Engineering,2021,12.34
243,Entity_243,Physics,2014,11.7
244,Entity_244,ComputerScience,2024,31.88
245,Entity_245,Engineering,2024,95.86
246,Entity_246,Biology,2021,20.63
247,Entity_247,Economics,2021,83.23
248,Entity_248,Physics,2011,70.02
249,Entity_249,Mathematics,2023,68.74
250,Entity_250,ComputerScience,2022,98.4
251,Entity_251,ComputerScience,2015,53.74
252,Entity_252,Engineering,2015,7.83
253,Entity_253,Engineering,2015,2.25
254,Entity_254,Biology,2023,49.53
255,Entity_255,Biology,2015,63.92
256,Entity_256,Biology,2021,16.15
257,Entity_257,Physics,2021,52.65
258,Entity_258,Engineering,2014,61.98
259,Entity_259,Economics,2022,48.87
260,Entity_260,Biology,2023,73.37
261,Entity_261,Mathematics,2015,85.32
262,Entity_262,ComputerScience,2014,88.28
263,Entity_263,Physics,2022,47.01
264,Entity_264,Economics,2020,38.52
265,Entity_265,ComputerScience,2017,85.24
266,Entity_266,Physics,2017,22.0
267,Entity_267,Mathematics,2015,28.69
268,Entity_268,Economics,2021,88.13
269,Entity_269,Economics,2010,52.15
270,Entity_270,Physics,2011,24.89
271,Entity_271,Biology,2017,55.96
272,Entity_272,Physics,2021,48.13
273,Entity_273,Engineering,2017,45.37
274,Entity_274,ComputerScience,2011,30.13
275,Entity_275,Biology,2021,25.09
276,Entity_276,Engineering,2019,37.53
277,Entity_277,Economics,2018,35.03
278,Entity_278,Engineering,2018,33.75
279,Entity_279,Engineering,2017,27.82
280,Entity_280,Mathematics,2013,12.94
281,Entity_281,Physics,2015,12.84
282,Entity_282,Economics,2022,69.33
283,Entity_283,Physics,2013,74.12
284,Entity_284,Mathematics,2021,59.37
285,Entity_285,Economics,2019,29.02
286,Entity_286,ComputerScience,2023,20.22
287,Entity_287,Physics,2015,18.76
288,Entity_288,ComputerScience,2021,53.88
289,Entity_289,Mathematics,2010,97.46
290,Entity_290,Economics,2014,70.04
291,Entity_291,Physics,2020,86.98
292,Entity_292,Biology,2011,87.4
293,Entity_293,Economics,2014,47.47
294,Entity_294,Biology,2015,19.25
295,Entity_295,ComputerScience,2014,94.17
296,Entity_296,Biology,2011,82.39
297,Entity_297,Biology,2017,8.33
298,Entity_298,Engineering,2020,6.31
299,Entity_299,Physics,2022,56.72
300,Entity_300,Mathematics,2011,99.4
301,Entity_301,ComputerScience,2018,76.68
302,Entity_302,Economics,2019,79.28
303,Entity_303,Physics,2022,52.73
304,Entity_304,Biology,2024,44.83
305,Entity_305,Economics,2016,31.23
306,Entity_306,Economics,2010,61.35
307,Entity_307,Engineering,2011,94.81
308,Entity_308,Physics,2020,21.89
309,Entity_309,Engineering,2011,16.55
310,Entity_310,Physics,2018,8.43
311,Entity_311,ComputerScience,2016,45.6
312,Entity_312,Economics,2017,29.83
313,Entity_313,Physics,2014,70.99
314,Entity_314,Engineering,2023,45.95
315,Entity_315,Engineering,2013,92.47
316,Entity_316,Engineering,2019,66.46
317,Entity_317,Physics,2016,12.36
318,Entity_318,Physics,2020,15.75
319,Entity_319,Mathematics,2023,15.08
320,Entity_320,ComputerScience,2012,79.47
321,Entity_321,Economics,2021,82.6
322,Entity_322,Mathematics,2017,13.31
323,Entity_323,Engineering,2014,70.27
324,Entity_324,Mathematics,2018,54.46
325,Entity_325,Biology,2011,60.21
326,Entity_326,Biology,2021,32.91
327,Entity_327,Mathematics,2010,10.04
328,Entity_328,Engineering,2023,86.19
329,Entity_329,Economics,2010,99.96
330,Entity_330,Engineering,2023,27.68
331,Entity_331,ComputerScience,2022,75.87
332,Entity_332,Biology,2018,65.5
333,Entity_333,Mathematics,2012,99.7
334,Entity_334,Biology,2020,81.61
335,Entity_335,ComputerScience,2017,35.45
336,Entity_336,Mathematics,2015,67.34
337,Entity_337,Physics,2015,41.75
338,Entity_338,Biology,2014,66.6
339,Entity_339,Biology,2023,76.29
340,Entity_340,ComputerScience,2017,9.72
341,Entity_341,Mathematics,2015,12.48
342,Entity_342,Biology,2023,51.95
343,Entity_343,ComputerScience,2020,87.07
344,Entity_344,Biology,2016,6.37
345,Entity_345,Economics,2015,62.64
346,Entity_346,Biology,2020,44.76
347,Entity_347,ComputerScience,2013,27.44
348,Entity_348,Physics,2024,29.51
349,Entity_349,Engineering,2017,13.02
350,Entity_350,Engineering,2019,80.13
351,Entity_351,Engineering,2012,31.76
352,Entity_352,ComputerScience,2018,41.39
353,Entity_353,Physics,2023,91.38
354,Entity_354,Biology,2011,65.12
355,Entity_355,Physics,2017,93.33
356,Entity_356,Mathematics,2018,70.84
357,Entity_357,Biology,2023,48.77
358,Entity_358,Biology,2013,46.22
359,Entity_359,Physics,2016,19.87
360,Entity_360,Economics,2018,74.88
361,Entity_361,Physics,2023,7.91
362,Entity_362,Biology,2015,93.49
363,Entity_363,Economics,2014,82.23
364,Entity_364,Mathematics,2021,30.56
365,Entity_365,Economics,2019,99.89
366,Entity_366,Biology,2023,15.71
367,Entity_367,Economics,2017,35.17
368,Entity_368,Economics,2022,54.8
369,Entity_369,Biology,2024,32.86
370,Entity_370,Physics,2021,24.64
371,Entity_371,Biology,2013,85.75
372,Entity_372,Biology,2010,32.5
373,Entity_373,Biology,2021,91.43
374,Entity_374,Biology,2016,98.85
375,Entity_375,Engineering,2012,50.04
376,Entity_376,ComputerScience,2012,50.73
377,Entity_377,Economics,2015,87.1
378,Entity_378,Biology,2011,53.07
379,Entity_379,Biology,2010,72.52
380,Entity_380,Biology,2023,65.82
381,Entity_381,Physics,2011,47.48
382,Entity_382,Mathematics,2015,62.7
383,Entity_383,Biology,2020,8.95
384,Entity_384,Mathematics,2023,67.76
385,Entity_385,Economics,2016,95.46
386,Entity_386,Engineering,2021,88.86
387,Entity_387,Biology,2023,54.56
388,Entity_388,Economics,2011,24.24
389,Entity_389,Engineering,2024,29.45
390,Entity_390,Physics,2021,9.95
391,Entity_391,ComputerScience,2022,63.74
392,Entity_392,ComputerScience,2017,17.47
393,Entity_393,Mathematics,2024,3.87
394,Entity_394,Mathematics,2022,6.56
395,Entity_395,Mathematics,2015,43.64
396,Entity_396,Physics,2018,41.79
397,Entity_397,Engineering,2022,18.83
398,Entity_398,Physics,2011,61.34
399,Entity_399,Biology,2019,68.63
400,Entity_400,Biology,2024,58.73
401,Entity_401,Physics,2017,64.15
402,Entity_402,Biology,2014,67.02
403,Entity_403,Biology,2024,29.48
404,Entity_404,Economics,2012,8.31
405,Entity_405,Mathematics,2019,30.62
406,Entity_406,Biology,2021,25.76
407,Entity_407,Mathematics,2013,99.94
408,Entity_408,Biology,2011,24.48
409,Entity_409,Economics,2015,57.91
410,Entity_410,Engineering,2014,3.17
411,Entity_411,Engineering,2016,28.17
412,Entity_412,Economics,2023,68.89
413,Entity_413,Engineering,2010,91.15
414,Entity_414,Engineering,2017,83.45
415,Entity_415,Mathematics,2022,80.09
416,Entity_416,Economics,2022,35.88
417,Entity_417,Engineering,2013,62.47
418,Entity_418,Engineering,2022,72.37
419,Entity_419,Engineering,2020,84.0
420,Entity_420,Engineering,2011,90.44
421,Entity_421,Engineering,2010,31.58
422,Entity_422,Biology,2010,58.38
423,Entity_423,Engineering,2012,9.92
424,Entity_424,Mathematics,2015,75.0
425,Entity_425,Physics,2013,14.08
426,Entity_426,Economics,2024,97.18
427,Entity_427,Economics,2018,91.44
428,Entity_428,Physics,2014,91.49
429,Entity_429,Biology,2022,30.22
430,Entity_430,Mathematics,2022,12.4
431,Entity_431,ComputerScience,2012,75.66
432,Entity_432,Physics,2023,67.96
433,Entity_433,Engineering,2016,96.76
434,Entity_434,Economics,2015,9.94
435,Entity_435,Biology,2010,27.18
436,Entity_436,ComputerScience,2017,37.49
437,Entity_437,Engineering,2020,26.95
438,Entity_438,Biology,2023,64.22
439,Entity_439,Mathematics,2011,67.81
440,Entity_440,Biology,2010,62.34
441,Entity_441,Economics,2015,91.61
442,Entity_442,Physics,2020,7.26
443,Entity_443,Biology,2024,70.41
444,Entity_444,Engineering,2016,12.55
445,Entity_445,ComputerScience,2010,31.13
446,Entity_446,Biology,2011,10.62
447,Entity_447,Economics,2012,39.48
448,Entity_448,Mathematics,2020,94.99
449,Entity_449,Engineering,2018,42.49
450,Entity_450,Engineering,2021,16.3
451,Entity_451,Biology,2020,10.8
452,Entity_452,Biology,2019,41.4
453,Entity_453,Mathematics,2010,69.34
454,Entity_454,Physics,2017,45.02
455,Entity_455,Physics,2023,36.91
456,Entity_456,Engineering,2015,54.9
457,Entity_457,Engineering,2015,6.99
458,Entity_458,Mathematics,2013,96.85
459,Entity_459,Biology,2011,66.61
460,Entity_460,Engineering,2020,60.12
461,Entity_461,ComputerScience,2010,78.89
462,Entity_462,Physics,2012,78.91
463,Entity_463,Physics,2011,83.15
464,Entity_464,Economics,2013,59.05
465,Entity_465,Physics,2015,77.66
466,Entity_466,Economics,2010,28.45
467,Entity_467,Physics,2012,54.48
468,Entity_468,Physics,2011,66.44
469,Entity_469,ComputerScience,2012,2.47
470,Entity_470,Physics,2019,33.05
471,Entity_471,Physics,2014,6.19
472,Entity_472,Engineering,2016,53.08
473,Entity_473,Engineering,2011,48.15
474,Entity_474,Mathematics,2018,59.77
475,Entity_475,Biology,2018,22.93
476,Entity_476,Economics,2010,73.0
477,Entity_477,Engineering,2018,30.86
478,Entity_478,Engineering,2010,7.02
479,Entity_479,Biology,2023,40.76
480,Entity_480,Engineering,2011,49.54
481,Entity_481,Biology,2011,90.03
482,Entity_482,Mathematics,2019,15.69
483,Entity_483,Physics,2014,62.81
484,Entity_484,Economics,2018,71.5
485,Entity_485,Biology,2019,53.53
486,Entity_486,Biology,2018,60.94
487,Entity_487,ComputerScience,2022,70.48
488,Entity_488,Engineering,2020,87.89
489,Entity_489,Economics,2021,86.68
490,Entity_490,Biology,2017,88.92
491,Entity_491,Biology,2015,82.91
492,Entity_492,Biology,2016,73.23
493,Entity_493,Mathematics,2016,31.94
494,Entity_494,Mathematics,2015,95.41
495,Entity_495,Engineering,2024,47.95
496,Entity_496,ComputerScience,2023,9.45
497,Entity_497,Biology,2011,74.71
498,Entity_498,Mathematics,2022,13.88
499,Entity_499,ComputerScience,2019,95.71
500,Entity_500,Economics,2015,67.33
501,Entity_501,Biology,2015,87.49
502,Entity_502,Biology,2023,91.67
503,Entity_503,ComputerScience,2014,60.44
504,Entity_504,Mathematics,2011,58.21
505,Entity_505,Physics,2012,66.02
506,Entity_506,Physics,2023,11.71
507,Entity_507,Economics,2015,12.37
508,Entity_508,Mathematics,2019,23.39
509,Entity_509,Biology,2023,56.54
510,Entity_510,Economics,2019,67.82
511,Entity_511,Economics,2010,61.29
512,Entity_512,Engineering,2023,69.65
513,Entity_513,ComputerScience,2012,28.05
514,Entity_514,Mathematics,2024,34.64
515,Entity_515,ComputerScience,2012,87.12
516,Entity_516,Economics,2020,40.68
517,Entity_517,Physics,2021,63.68
518,Entity_518,ComputerScience,2011,74.87
519,Entity_519,Physics,2016,42.56
520,Entity_520,Mathematics,2012,37.64
521,Entity_521,Engineering,2015,77.91
522,Entity_522,Economics,2019,9.41
523,Entity_523,ComputerScience,2012,16.58
524,Entity_524,Economics,2010,67.72
525,Entity_525,Mathematics,2017,66.53
526,Entity_526,Biology,2019,44.76
527,Entity_527,Mathematics,2013,75.74
528,Entity_528,ComputerScience,2015,43.56
529,Entity_529,Mathematics,2020,68.17
530,Entity_530,Biology,2018,67.05
531,Entity_531,ComputerScience,2013,40.13
532,Entity_532,Economics,2010,1.76
533,Entity_533,Mathematics,2013,76.97
534,Entity_534,Mathematics,2014,33.48
535,Entity_535,ComputerScience,2017,74.95
536,Entity_536,Physics,2012,38.64
537,Entity_537,Engineering,2013,50.53
538,Entity_538,Engineering,2022,36.06
539,Entity_539,Biology,2023,74.46
540,Entity_540,Biology,2010,46.52
541,Entity_541,ComputerScience,2023,31.99
542,Entity_542,Biology,2019,41.04
543,Entity_543,Engineering,2016,29.66
544,Entity_544,Biology,2010,96.65
545,Entity_545,Physics,2022,94.81
546,Entity_546,Biology,2023,69.27
547,Entity_547,Mathematics,2011,44.23
548,Entity_548,ComputerScience,2013,44.13
549,Entity_549,Biology,2018,8.79
550,Entity_550,Mathematics,2021,34.61
551,Entity_551,Mathematics,2022,17.65
552,Entity_552,Economics,2020,12.29
553,Entity_553,Economics,2013,90.69
554,Entity_554,Mathematics,2015,73.01
555,Entity_555,Engineering,2023,15.62
556,Entity_556,ComputerScience,2012,26.34
557,Entity_557,Physics,2019,16.13
558,Entity_558,Engineering,2011,18.54
559,Entity_559,Engineering,2017,46.93
560,Entity_560,Economics,2022,58.37
561,Entity_561,Engineering,2024,88.32
562,Entity_562,Engineering,2020,98.67
563,Entity_563,Mathematics,2023,97.13
564,Entity_564,Mathematics,2012,44.54
565,Entity_565,Biology,2017,63.51
566,Entity_566,Mathematics,2019,6.56
567,Entity_567,Economics,2011,31.73
568,Entity_568,Biology,2010,6.63
569,Entity_569,Mathematics,2011,64.82
570,Entity_570,ComputerScience,2019,59.81
571,Entity_571,Biology,2017,58.45
572,Entity_572,Engineering,2024,5.06
573,Entity_573,Economics,2020,19.64
574,Entity_574,Economics,2017,50.64
575,Entity_575,ComputerScience,2017,11.25
576,Entity_576,Mathematics,2021,9.35
577,Entity_577,Engineering,2012,4.88
578,Entity_578,Engineering,2017,99.11
579,Entity_579,Economics,2018,61.37
580,Entity_580,Mathematics,2015,91.88
581,Entity_581,Biology,2016,77.67
582,Entity_582,Engineering,2019,6.18
583,Entity_583,Engineering,2020,34.13
584,Entity_584,Mathematics,2011,56.24
585,Entity_585,Biology,2014,25.95
586,Entity_586,Engineering,2024,60.67
587,Entity_587,Physics,2015,9.07
588,Entity_588,Engineering,2012,91.76
589,Entity_589,Mathematics,2020,70.15
590,Entity_590,Biology,2012,59.91
591,Entity_591,ComputerScience,2014,56.33
592,Entity_592,Engineering,2022,33.52
593,Entity_593,Physics,2020,70.58
594,Entity_594,Engineering,2020,91.33
595,Entity_595,ComputerScience,2020,67.38
596,Entity_596,Economics,2015,2.8
597,Entity_597,Mathematics,2012,95.17
598,Entity_598,Mathematics,2022,49.14
599,Entity_599,Physics,2012,16.34
600,Entity_600,Mathematics,2023,79.02
601,Entity_601,Economics,2022,54.44
602,Entity_602,Engineering,2024,53.13
603,Entity_603,Engineering,2015,87.76
604,Entity_604,Economics,2012,60.13
605,Entity_605,Physics,2012,18.9
606,Entity_606,Engineering,2022,62.85
607,Entity_607,Physics,2021,44.33
608,Entity_608,Biology,2015,67.96
609,Entity_609,Physics,2017,61.45
610,Entity_610,Engineering,2022,45.44
611,Entity_611,Economics,2013,31.64
612,Entity_612,Biology,2024,83.68
613,Entity_613,Mathematics,2020,94.77
614,Entity_614,Biology,2017,77.17
615,Entity_615,Biology,2018,53.22
616,Entity_616,Physics,2023,20.77
617,Entity_617,Economics,2012,87.43
618,Entity_618,ComputerScience,2020,48.58
619,Entity_619,Mathematics,2018,93.5
620,Entity_620,Engineering,2023,52.08
621,Entity_621,ComputerScience,2014,9.3
622,Entity_622,Physics,2014,45.48
623,Entity_623,Economics,2012,83.27
624,Entity_624,ComputerScience,2024,22.98
625,Entity_625,Biology,2024,35.61
626,Entity_626,ComputerScience,2016,6.27
627,Entity_627,Economics,2015,24.34
628,Entity_628,ComputerScience,2015,23.23
629,Entity_629,Mathematics,2024,10.81
630,Entity_630,Engineering,2020,34.19
631,Entity_631,Physics,2012,4.79
632,Entity_632,Biology,2021,83.28
633,Entity_633,Engineering,2017,45.41
634,Entity_634,ComputerScience,2024,8.84
635,Entity_635,Mathematics,2013,83.66
636,Entity_636,Economics,2021,61.28
637,Entity_637,Biology,2011,77.84
638,Entity_638,Physics,2014,13.06
639,Entity_639,Physics,2016,64.26
640,Entity_640,Economics,2017,7.22
641,Entity_641,Biology,2019,54.07
642,Entity_642,Engineering,2018,57.93
643,Entity_643,Engineering,2012,29.84
644,Entity_644,ComputerScience,2019,35.93
645,Entity_645,Economics,2016,19.54
646,Entity_646,Engineering,2011,52.82
647,Entity_647,Mathematics,2011,95.39
648,Entity_648,Economics,2018,78.85
649,Entity_649,Economics,2018,3.01
650,Entity_650,Biology,2010,63.93
651,Entity_651,Mathematics,2014,74.98
652,Entity_652,Mathematics,2022,7.69
653,Entity_653,Physics,2021,66.05
654,Entity_654,ComputerScience,2022,58.61
655,Entity_655,Mathematics,2012,5.39
656,Entity_656,Economics,2015,81.54
657,Entity_657,Physics,2023,78.14
658,Entity_658,Biology,2021,48.37
659,Entity_659,Physics,2022,14.35
660,Entity_660,Engineering,2022,94.42
661,Entity_661,ComputerScience,2014,20.96
662,Entity_662,Physics,2024,5.15
663,Entity_663,Mathematics,2018,40.42
664,Entity_664,Economics,2017,26.08
665,Entity_665,Engineering,2013,29.32
666,Entity_666,ComputerScience,2023,65.92
667,Entity_667,Mathematics,2011,80.13
668,Entity_668,Biology,2024,40.6
669,Entity_669,Biology,2024,95.69
670,Entity_670,Mathematics,2012,50.12
671,Entity_671,Biology,2015,92.51
672,Entity_672,Economics,2014,80.31
673,Entity_673,Engineering,2016,8.81
674,Entity_674,Economics,2023,18.87
675,Entity_675,Mathematics,2015,11.16
676,Entity_676,Mathematics,2020,30.27
677,Entity_677,Biology,2019,72.05
678,Entity_678,Physics,2021,44.95
679,Entity_679,Biology,2010,72.95
680,Entity_680,Mathematics,2019,99.82
681,Entity_681,Mathematics,2020,98.02
682,Entity_682,ComputerScience,2011,67.45
683,Entity_683,Biology,2015,51.8
684,Entity_684,Engineering,2020,16.84
685,Entity_685,ComputerScience,2012,85.02
686,Entity_686,Engineering,2022,44.38
687,Entity_687,Physics,2011,24.36
688,Entity_688,Engineering,2015,36.85
689,Entity_689,Economics,2010,60.9
690,Entity_690,Engineering,2017,94.93
691,Entity_691,Mathematics,2017,76.55
692,Entity_692,Economics,2012,53.42
693,Entity_693,Biology,2015,65.31
694,Entity_694,Physics,2011,3.57
695,Entity_695,Physics,2017,52.26
696,Entity_696,Economics,2011,26.92
697,Entity_697,Mathematics,2021,45.18
698,Entity_698,Economics,2014,69.7
699,Entity_699,Biology,2013,13.14
700,Entity_700,ComputerScience,2017,18.09
701,Entity_701,Engineering,2017,99.73
702,Entity_702,Engineering,2023,98.67
